位,访问,操作说明,复位值
[31: 9],,reserved保留,
[9],RW,7816_error_signal 卡发送时收到error signal 错误信号。(7816 模式),
[8],RW,"overrun_error（UART&7816 模式）
rxfifo 出现溢出。 软件主动写 1 清 0。",1’b0
[7],RW,"parity_error（UART&7816 模式）接收到的包校验位错误。
DMA 情况下，此中断仍会产生。但DMA 操作不关心此中断。
软件主动写 1 清 0。",1’b0
[6],RW,"frame_error（UART 模式）接收到的包停止位错误。
DMA 情况下，此中断仍会产生。但DMA 操作不关心此中断。
软件主动写 1 清 0。",1’b0
[5],RW,"break_detect（UART 模式）接收到break 包。
DMA 情况下，此中断仍会产生。但DMA 操作不关心此中断。
软件主动写 1 清 0。",1’b0
[4],RW,"cts_changed（UART 模式）
cts 信号变化则产生此中断。软件主动写 1 清 0。",1’b0
[3],RW,"rxfifo_data_timeout（UART&7816 模式）
rxfifo 中数据长度小于rxfifo trigger level 但N 个数据周期没有接收到任何数据，则产生中断。
软件主动写 1 清 0。",1’b0
[2],RW,"rxfifo_trigger_level_interrupt（UART&7816 模式）
当rxfifo 中数据个数由小于rxfifo trigger level 中指定的数变成大于或等于该数时，产生此中断。
此时应该根据rxfifo count 确定当前数据帧大小。
软件主动写 1 清 0。",1’b0
[1],RW,"txfifo_trigger_level_interrupt（UART&7816 模式）
当txfifo 中数据个数由大于txfifo trigger level 中指定的数变成小于或等于该数时，产生中断。
软件主动写 1 清 0。",1’b0
[0],RW,"tx_fifo_empty_interrupt（UART&7816 模式）
当发送完成当前包，并且txfifo 为空时，产生此中断。软件主动写 1 清 0。",1’b0
