位,访问,操作说明,复位值
[31:25],,reserved保留,
[24],RW,"sc_mode 1’b0：uart 模式
1’b1：7816 模式",1’b0
[23],RW,"rx_retrans_en 模式7816 T0 
1’b0：Rx 自动重传无效
1’b1：Rx 自动重传使能",1’b0
[22:20],RW,rx_retrans_cnt模式7816 卡 T0 ,3’h3
[19],RW,"tx_retrans_en 7816 卡 T0 模式 tx_retrans_en 1’b0：Tx 自动重传无效
1’b1：Tx 自动重传使能",1’b0
[18:16],RW,"tx_retrans_cnt 模式7816 卡T0
tx 自动重传次数",3’h3
[15:11],RW,"Min_Block_Guard_Time 7816 卡的最小MIN_BGT（Min Block Guard Time  ）
Min Block Guard Time 计算： 10+stop 位(默认 2 位)+配置值MIN_BGT Note:
T=0：在发送和接收的两个相反方向连续字符的起始位下降沿之间的最小时间间隔不能小于 16 个 ETU。必须能够正确解释接收到的其起始位下降沿和最后发送的字节起始位下降沿间隔为 15 个 ETU 的字符。
T=1：在发送和接收的两个相反方向连续字符的起始位下降沿之间的最小时间间隔
（块保护时间，BGT）必须为 22 个 ETU。必须能够正确解释接收到的其起始位下降沿和最后发送的字节起始位下降沿间隔为 21 个 ETU 以内接收到的字符。",5’ha
[10],RW,"7816_tmr_cfg 7816 卡时钟控制配置
1’b0：在配置为卡模式时产生卡时钟输出，否则卡时钟输出无效
1’b1：时钟停止",1’b0
[9],RW,"7816_parity_error 7816 卡的parity 错误时是否接收数据
1’b0：不接收
1’b1：接收",1’b1
[8],RW,"7816_mode 7816 卡的T0/T1 模式配置，
1’b0：T0 模式
1’b1：T1 模式",1’b0
[7],RW,"uart_rx_enable
uart/7816 模式下，接收使能，高有效",1’b0
[6],RW,uart_tx_enable uart/7816 模式下，发送使能，高有效。,1’b0
[5],RW,"send_break_enable
发送break 数据包。Uart 会在该为被置位后发送完一个break 数据包，发送完成后自动清 0。",1’b0
[4],RW,"parity 极性 (UART  模式) 1’b0：偶校验
1’b1：奇校验
正反向(7816  模式) 1’b0：LSB（b0 bit）先传输
1’b1：MSB（b7 bit）先传输",1’b0
[3],RW,parity_en 使能，高有效(UART 模式),1’b1
[2],RW,"stop_bit_count 个数（UART 模式）
1’b0：1 个停止位
1’b1：2 个停止位
stop bit 个数（7816 模式）
1’b0：0.5 个停止位
1’b1：1.5 个停止位",1’b0
[1 : 0],RW,"uart_bit_length 比特长度（UART 模式）
2’h0：5bit 2’h1：6bit 2’h2：7bit 2’h3：8bit",2’h3
