位,访问,操作说明,复位值
[31],,保留,
[30],RW,"RNG start
1’b0：不启动RNG
1’b1：启动RNG",1’b0
[29],RW,"RNG Load_seed
硬件自动清 0
1’b0：随机数发生器会默认以零为种子，产生相应位数的随机数
1’b1：种子加载完成以后开始生成随机数",1’b0
[28],RW,"RNG switch
控制生成随机数的位数，
1’b0：16 位
1’b1：32 位",1’b0
[27],RW,"des_soft_reset
des 软复位完成后硬件自动清 0   1’b0：不产生软复位且不改变当前状态
1’b1：加密算法被软件复位为初始状态",1’b0
[26],RW,"aes_soft_reset
aes 软复位完成后硬件自动清 0
1’b0：不产生软复位且不改变当前状态
1’b1：加密算法被软件复位为初始状态",1’b0
[25],RW,"rc4_soft_reset
rc4 软复位完成后硬件自动清 0   1’b0：不产生软复位且不改变当前状态
1’b1：加密算法被软件复位为初始状态",1’b0
[24],RW,"crc_datarev
1’b0：CRC 输入数据不反向
1’b1：CRC 输入数据反向",1’b0
[23],RW,"crc_chksrev
1’b0：CRC 输出结果不反向
1’b1：CRC 输出结果反向",1’b0
[22:21],RW,"sub_mode
算法类型子模式选择：
2’b00：DES/AES 密码算法的ECB 模式，可复用 CRC 算法的 CRC8 模式
2’b01：3DES/AES 密码算法的 CBC，可复用 CRC 算法的CRC16_0 模式
2’b10：AES 密码算法的CTR 模式，可复用 CRC 算法的CRC16_1 模式
2’b11：CRC 算法的CRC32",2’b0
[20],RW,"encrypt_decrypt
RC4/AES/DES/3DES 算法的加密或解密模式选择: 1’b0：加密
1’b1：解密",1’b0
[19],RW,"gpsec_int_mask
1’b0：不屏蔽加/解密完成中断
1’b1：屏蔽加/解密完成中断",1’b0
[18:16],RW,"cypher_mode密码算法类型 3’b000：RSV
3’b001：RC4
3’b010：SHA1
3’b011：AES
3’b100：DES
3’b101：3DES
3’b110：CRC
3’b111：MD5",3’b0
[15: 0],RW,"total_byte
总共需要加解密操作的byte 个数。",16’h0
