位,访问,操作说明,复位值
[7],WO,"STA，控制产生START 时序
1’b0：无效
1’b1：产生START 时序",1’b0
[6],WO,"STO，控制产生STOP 时序；
1’b0：无效",1’b0
[5],WO,"RD，从 SLAVE 读；
1’b0：无效
1’b1：从SLAVE 读",1’b0
[4],WO,"WR，向 SLAVE 写；
1’b0：无效
1’b1：向SLAVE 写",1’b0
[3],WO,"ack_nack 控制向SLAVE 送回 ACK/NACK；
1’b0：回ACK
1’b1：回NAK",1’b0
[2:1],WO,reserved保留,
[0],WO,"IACK，清除中断状态，1 有效；
1’b0：无效
1’b1：清除中断标志",1’b0
[7],RO,"RxACK，从SLAVE 收到的ACK/NACK 状态； 
1’b0：从SLAVE 收到 ACK
1’b1：从SLAVE 收到NAK",1’b0
[6],RO,"BUSY；
1’b0：STO 后置 0
1’b1：STA 后置 1",1’b0
[5:2],RO,reserved保留,1’b0
[1],RO,"TIP；
1’b0：无传输正在进行
1’b1：有传输正在进行",1’b0
[0],RO,"IF，中断状态位；
1’b0：无中断产生
1’b1：传输完成",1’b0
