位,访问,操作说明,复位值
[31:27],RO,RSV,7’h0
[26],RW,"timeout_ctrl超时计数控制位，当此位被置 1 并且传输进程被主设备强制停止时，将不发生接收
完成(RXDONE)中断",1’h0
[25:24],RW,"FORMAT
数据格式选择
2’b00：I2S  数据格式 2’b01：MSB Justified  数据格式 2’b10：PCM A 声音数据格式
2’b11：PCM B 声音数据格式",2’b0
[23],RW,"RXLCH
声道接收使能控制位
1’b0：使能接收右声道数据
1’b1：使能接收左声道数据
注意：只有选择MONO_STEREO 的单声道模式时，此位才有效",1’b0
[22],RW,"MONO_STEREO
单声道立体声选择位
1’b0：数据以立体声格式传输
1’b1：数据以单声道格式传输",1’b0
[21],RW,"RXDMAEN
接收DMA 请求使能位
1’b0：不使能发送DMA 请求
1’b1：使能发送DMA 请求
注意：当使能传输DMA 请求并且RXFIFO 中的字的个数等于或者大于RXTH
时，I2S 控制器会向DMA 发出传输请求直至RXFIFO 为空才停止DMA 传输。",1’b0
[20],RW,"TXDMAEN
发送DMA 请求使能位
1’b0：不使能发送DMA 请求
1’b1：使能发送DMA 请求
注意：当使能传输 DMA 请求并且 TXFIFO 中的字的个数小于TXTH 时，I2S 控制器会向DMA 发出传输请求直至TXFIFO 满才停止DMA 传输。",1’b0
[19],WO,"RXCLR
清空RXFIFO
1’b0：无效
1’b1：清空RXFIFO
注意：写 1 清空RXFIFO，由硬件自动清空。读此位永远返回 0",1’b0
[18],WO,"TXCLR
清空TXFIFO
1’b0：无效
1’b1：清空TXFIFO
注意：写 1 清空TXFIFO，由硬件自动清空。读此位永远返回 0",1’b0
[17],RW,"LZCEN
左声道零交叉检测使能控制位
1’b0：停止左声道零交叉检测
1’b1：使能左声道零交叉检测",1’b0
[16],RW,"RZCEN
右声道零交叉检测使能控制位
1’b0：停止右声道零交叉检测
1’b1：使能右声道零交叉检测",1’b0
[15],RW,RSV,1’b0
[14:12],RW,"RXTH RXFIFO 阙值
3’b000：设置阙值为 0 个字
3’b000：设置阙值为 1 个字
…
3’b111：设置阙值为 7 个字
注意：当RXFIFO 中现有的字等于或者多于RXTH 的值时，RXTHIF 位会被置位。此时可以根据设置来选择触发RXDMA 或者 I2S 中断",3’h4
[11:9],RW,"TXTH TXFIFO 阙值
3’b000：设置阙值为 0 个字
3’b000：设置阙值为 1 个字
…
3’b111：设置阙值为 7 个字
注意：当TXFIFO 中现有的字等于或者少于TXTH 的值时，TXTHIF 位会被置位。此时可以根据设置来选择触发TXDMA 或者I2S 中断",3’h4
[8],RW,"clk_phase_sel
选择时钟相位模式
1’b0：默认模式
以上面提及的I2S 总线时序展示
1’b1：反转模式
以上面提及的I2S 总线时序的反转形式展示",1’b0
[7:6],RW,RSV,2’h0
[5:4],RW,"WDWIDTH
传输字长设置位
2’b00：字长 8 bit
2’b01：字长 16 bit
2’b10：字长 24 bit
2’b11：字长 32 bit",2’b0
[3],RW,"MUTE
传输哑声使能标志位
1’b0：从移位寄存器传输数据，正常操作模式
1’b1：将传输数据置 0，使声音静音",1’b0
[2],RW,"RXEN
接收使能标志位
1’b0：停止I2S 数据接收
1’b1：使能I2S 数据接收",1’b0
[1],RW,"TXEN
传输使能标志位
1’b0：停止I2S 数据传输
1’b1：使能I2S 数据传输",1’b0
[0],RW,"I2SEN
I2S 使能标志位
1’b0：不使能
1’b1：使能",1’b0
