位,访问,操作说明,复位值
[31:10],RO,RSV,22’h0
[9],RW,"LZCIMASK
左声道零交叉中断使能标志位
1’b0：中断不使能
1’b1：中断使能
当使能中断，并且检测到左声道上有零交叉时，产生中断",1’b1
[8],RW,"RZCIMASK
右声道零交叉中断使能标志位
1’b0：中断不使能
1’b1：中断使能
当使能中断，并且检测到右声道上有零交叉时，产生中断",1’b1
[7],RW,"TXDONEMASK
发送完成中断使能位
1’b0：中断不使能
1’b1：中断使能
当使能中断，并且TXFIFO 为空时，产生中断",1’b1
[6],RW,"TXTHIMASK
TXFIFO 阙值中断使能位
1’b0：中断不使能
1’b1：中断使能
当使能中断，并且TXFIFO 中的数据数等于或者小于TXTH 时，产生中断",1’b1
[5],RW,"TXOVIMASK
TXFIFO 溢出中断使能位
1’b0：中断不使能
1’b1：中断使能
注意：当使能中断，TXFIFO 满，CPU 再向TXFIFO 中写数据时，TXOVIF 标志位将会被置位",1’b1
[4],RW,"TXUDIMASK
TXFIFO 下溢中断使能位
1’b0：中断不使能
1’b1：中断使能
注意：当使能TXFIFO 下溢中断，并且检测到TXUDIF 为 1 时，将产生下溢中断",1’b1
[3],RW,"RXDONEMASK
接收完成中断使能标志位
1’b0：中断不使能
1’b1：中断使能
当使能接收完成中断，并且接收过程完成时，将产生接收完成中断",1’b1
[2],RW,"RXTHIMASK
RXFIFO 阙值中断使能标志位
1’b0：中断不使能
1’b1：中断使能
当使能RXFIFO 阙值中断，并且 RXFIFO 中的数据个数等于或者多于阙值数时，产生生 RX 中断",1’b1
[1],RW,"RXOVIMASK
RXFIFO 溢出中断使能位
1’b0：中断不使能
1’b1：中断使能
注意：当使能RXFIFO 流出中断，并且检测到TXOVIF 为 1 时，将产生溢出中断",1’b1
[0],RW,"RXUDIMASK
RXFIFO 下溢中断使能位
1’b0：中断不使能
1’b1：中断使能
注意：当使能RXFIFO 下溢中断，并且检测到TXUDIF 为 1 时，将产生下溢中断",1’b1
