位,访问,操作说明,复位值
[31:13],RO,RSV,19’h0
[12],RO,"TXIF
I2S  发送中断标志
1’b0：未发生I2S 中断
1’b1：I2S 有发送中断产生",1’b0
[11],RO,"RXIF
I2S  接收中断标志
1’b0：未发生I2S 中断
1’b1：I2S 有接收中断产生",1’b0
[10],RO,"I2SIF
I2S  中断标志位
1’b0：未发生I2S 中断
1’b1：I2S 有中断产生
注意：只要 RX 或者 TX 之一有中断，此位就会置位",1’b0
[9],RW,"LZCIF
左声道零交叉检测标志
此位指示左通道下一个样本数据符号位改变或所有数据位为零。
1’b0：未检测到零交叉
1’b1：检测到零交叉
注意：写 1 来清除中断标志",1’b0
[8],RW,"RZCIF
右声道零交叉检测标志
此位指示右通道下一个样本数据符号位改变或所有数据位为零。
1’b0：未检测到零交叉
1’b1：检测到零交叉
注意：写 1 来清除中断标志",1’b0
[7],RW,"TXDONEIF
发送完成中断标志
1’b0：本次发送未完成
1’b1：本次发送完成
注意：写 1 来清除中断标志",1’b0
[6],RO,"TXTHIF
RXFIFO 中断标志
1’b0：TXFIFO 中的字个数大于阙值
1’b1：TXFIFO 中的字个数小于或等于于阙值.
注意：当 TXFIFO 中字的个数(TXCNT)等于或者少于TXTH 设置的阙值时，这个位会被置 1，直至向 TXFIFO 中的写入数据并且 TXCNT 的值大于 TXTH 的值后，它才会变回 0。",1’b0
[5],RW,"TXOVIF
TXFIFO 溢出中断标志
1’b0：TXFIFO 没有发生溢出中断
1’b1：TXFIFO 发生了溢出中断注意：写 1 来清除中断标志",1’b0
[4],RW,"TXUDIF
TXFIFO 下溢中断标志
1’b0：TXFIFO 没有发生下溢中断
1’b1：TXFIFO 发生了下溢中断注意：写 1 来清除中断标志",1’b0
[3],RW,"RXDONEIF
接收完成中断标志
1’b0：本次接收未完成
1’b1：本次接收完成
注意：写 1 来清除中断标志",1’b0
[2],RO,"RXTHIF
RXFIFO 中断标志
1’b0：RXFIFO 中的字个数小于阙值
1’b1：RXFIFO 中的字个数等于或大于阙值.
注意：当 RXFIFO 中字的个数等于或者多于RXTH 设置的阙值时，这个位会被置 1，直至RXFIFO 中的数据被读出并且RXCNT 的值小于RXTH 的值后，它才会变回 0。",1’b0
[1],RW,"RXOVIF
RXFIFO 溢出中断标志
1’b0：RXFIFO 没有发生溢出中断
1’b1：RXFIFO 发生了溢出中断
注意：写 1 来清除溢出中断",1’b0
[0],RW,"RXUDIF
RXFIFO 下溢中断标志
1’b0：RXFIFO 没有发生下溢中断
1’b1：RXFIFO 发生了下溢中断注意：写 1 来清除下溢中断",1’b0
