位,访问,操作说明,复位值
[31:11],--,reserved保留,21’h0
[10],RW,"DMA_request2_mask DMA_request2 使能 1’b0：DMA_request2 无效
1’b1：DMA_request2 有效
注意：只是针对CH4",1’b0
[9],RW,"FLIEN2
下降沿缓存中断使能位
1’b0：下降沿缓存中断无效
1’b1：下降沿缓存中断有效注意：只是针对CH4",1’b0
[8],RW,"RLIEN2
上升沿缓存中断使能位
1’b0：上升缓存中断无效
1’b1：上升沿缓存中断有效注意：只是针对CH4",1’b0
[7],RW,"OVERFL2
计数器溢出标志
1’b0：捕获模式，计数器计数过程中，计数器未溢出
1’b1：捕获模式，计数器计数过程中，计数器溢出
注意：当用户清除CFLIF 或CRLIF 时，本bit 也同时被清除注意：只是针对CH4",1’b0
[6],RW,"FLIFOV2
下降沿延迟中断标识过跑状态
1’b0：当CFILF 为 1 时，无下降沿延迟中断产生
1’b1：当CFILF 为 1 时，又一次发生下降沿延迟中断注意：当用户清除CFILF 时，本bit 也同时被清除
注意：只是针对CH4",1’b0
[5],RW,"RLIFOV2
上升沿延迟中断标识过跑状态
1’b0：当CRILF 为 1 时，无上升沿延迟中断产生
1’b1：当CRILF 为 1 时，又一次发生上升沿延迟中断
注意：当用户清除CRILF 时，本bit 也同时被清除注意：只是针对CH4",1’b0
[4],RW,"CFLIF2
捕获下降沿中断标识
1’b0：没有捕获到下降沿
1’b1：当捕获到下降沿，本位被设置为 1
注意：通过写入 1，清除该标识位注意：只是针对CH4",1’b0
[3],RW,"CRLIF2
捕获上升沿中断标识
1’b0：没有捕获到上升沿
1’b1：当捕获到上升沿，本位被设置为 1
注意：通过写入 1，清除该标识位注意：只是针对CH4",1’b0
[2],RW,"POEN2
PWM 管脚输出使能位
1’b0：PWM 管脚置为输出状态
1’b1：PWM 管脚置为三态状态注意：只是针对CH4",1’b0
[1],RW,"CPEN2
捕获功能使能标识位
1’b0：CH4 捕获功能无效，RCAPDAT 和FCAPDAT 值不会被更新；
1’b1：CH4 捕获功能有效，捕获并锁存 PWM 计数器，分别存储在 RCAPDAT（上升沿锁存）和FCAPDAT（下降沿锁存）
注意：只是针对CH4",1’b0
[0],RW,"CAPINV2
捕获反向使能标识位
1’b0：捕获模式输入信号反向无效
1’b1：捕获模式输入信号反向有效，对输入信号取反注意：只是针对CH4",1’b0
