位,访问,操作说明,复位值
[31:27],RW,"CNTEN
计数器计数使能
1’b0：停止计数
1’b1：开始计数
注意：每位分别控制每个通道，从高到低依次控制CH4、CH3、CH2、CH1 和CH0",5’b0
[26],--,reserved保留,1’b0
[25],RW,"CAPINV
捕获反向使能标识位
1’b0：捕获模式输入信号反向无效
1’b1：捕获模式输入信号反向有效，对输入信号取反",1’b0
[24],RW,"CPEN
捕获功能使能标识位
1’b0：CH0 捕获功能无效，RCAPDAT 和FCAPDAT 值不会被更新；
1’b1：CH0 捕获功能有效，捕获并锁存 PWM 计数器，分别存储在 RCAPDAT（上升沿锁存）和FCAPDAT（下降沿锁存）",1’b0
[23:22],RW,"CNTTYPE3
CH3 计数器计数方式
2’b00：边缘对齐模式（计数器计数方式为递增，仅针对捕获模式）
2’b01：边缘对齐模式（计数器计数方式为递减，仅针对 PWM 模式）
2’b10：中央对齐模式（仅针对 PWM 模式）
注意：在PWM 模式下，当计数器被设置为沿对齐模式时，需要设置计数方式为递减方式。",2’b0
[21:20],RW,"CNTTYPE2
CH2 计数器计数方式同CH3",2’b0
[19:18],RW,"CNTTYPE1
CH1 计数器计数方式同CH3",2’b0
[17:16],RW,"CNTTYPE0
CH0 计数器计数方式同CH3",2’b0
[15:14],RW,"TWOSYNCEN
2 通道同步模式使能信号
1’b0：不允许 2 通道同步
1’b1：允许 2 通道同步，
PWM_CH0 和PWM_CH1 具有相同的相位，且相位由 PWM_CH0 决定；PWM_CH2和PWM_CH3 具有相同的相位，且相位由PWM_CH2 决定
15bit 控制CH3 和CH2
14bit 控制CH1 和CH0",2’b0
[13],--,reserved保留,1’b0
[12],RW,"POEN
PWM 管脚输出使能位
1’b0：PWM 管脚置为输出状态
1’b1：PWM 管脚置为三态状态注意：只是针对CH0",1’b0
[11:8],RW,"CNTMODE
PWM 生成循环方式
1’b0：单次模式
1’b1：自动装载模式
注意：CNTMODE  变化过程中，PWM_CMPDAT  归零；每位分别控制每个通道，从高到低依次控制PW3、PW2、PW1 和PW0",4’h0
[7],--,reserved保留,1’b0
[6],RW,"ALLSYNCEN
全通道同步模式使能信号
1’b0：不允许全部通道同步
1’b1：允许全部通道同步，PWM_CH0、PWM_CH1、PWM_CH2 和 PWM_CH3 具有相同的相位，且相位由PWM_CH0 决定",1’b0
[5:2],RW,"PINV
PWM 输出信号极性使能
1’b0：PWM 输出极性翻转不使能
1’b1：PWM 输出极性翻转使能
注意：每位分别控制每个通道，从高到低依次控制PW3、PW2、PW1 和PW0",4’h0
[1:0],RW,"OUTMODE
输出模式
1’b0：每两个通道非互补模式
1’b1：每两个通道组成互补模式 BIT1 控制CH2 和CH3
BIT0 控制CH0 和CH1",2’b0
