偏移地址,名称,缩写,访问,描述,复位值
0X0000,通道配置寄存器,CH_CFG,RW,用以对收发通道的相关项进行一些配置,0X0000_0000
0X0004,SPI 配置寄存器,SPI_CFG,RW,对 SPI 通信相关项进行配置,0X0000_0004
0X0008,时钟配置寄存器,Clk_CFG,RW,用以设置时钟分频系数,0X0000_0000
0X000C,模式配置寄存器,MODE_CFG,RW,配置传输模式,0X0000_0000
0X0010,中断控制寄存器,SPI_INT_MASK,RW,屏蔽或者使能相关中断,0X0000_00FF
0X0014,中断状态寄存器,SPI_INT_SOURCE,RW,用于查询中断源,0X0000_0000
0X0018,SPI 状态寄存器,SPI_STATUS,RO,列举 SPI 通信中的相关状态,0X0000_0000
0X001C,SPI 超时寄存器,SPI_TIME_OUT,RW,设置 SPI 通信超时,0X0000_0000
0X0020,数据发送寄存器,SPI_TX_DATA,RW,TX FIFO，用于存放待发送数据,0X0000_0000
0X0024,传输模式寄存器,TRANS_MODE,RW,设置传输模式,0X0000_0000
0X0028,数据长度寄存器,SLV_XMIT_LEN,RO,作为从设备时用于存放发送出去或者接收到的数据的长度,0X0000_0000
0X0030,数据接收寄存器,SPI_RX_DATA,RW,RX FIFO，用于存放接收到的数据,0X0000_0000
