位,访问,操作说明,复位值
[31:30],RW,reserved保留,2’h0
[29:25],RW,TMR6_CSR，同TMR1_CSR,5’h3
[24:20],RW,TMR5_CSR，同TMR1_CSR,5’h3
[19:15],RW,TMR4_CSR，同TMR1_CSR,5’h3
[14:10],RW,TMR3_CSR，同TMR1_CSR,5’h3
[9 : 5],RW,TMR2_CSR，同TMR1_CSR,5’h3
[4],RW,"tmr_int_status中断状态寄存器，写 1 清除
1’b0：Timer 无中断产生；
1’b1：Timer 产生中断；",1’b0
[3],RW,"tmr_int_en中断使能寄存器
1’b0：定时时间完成后不产生中断；
1’b1：定时时间完成后产生中断；",1’b0
[2],RW,"tmr_en定时器使能寄存器 1’b0：定时器不工作；
1’b1：使能定时器",1’b0
[1],RW,"tmr_mode定时器工作模式  1’b0：定时器重复定时；
1’b1：定时器只定时一次，定时完成后自动关闭；",1’b1
[0],RW,"tmr_unit定时器定时单位 1’b0：定时单位为 us；
1’b1：定时单位为 ms；",1’b1
