位,访问,操作说明,复位值
[31: 9],,保留,
[8],RW,overrun error int mask， rxfifo 溢出中断屏蔽位，高有效。,1’b1
[7],RW,parity error int mask，奇偶检验中断屏蔽位，高有效。,1’b1
[6],RW,frame error int mask，数据帧出错中断屏蔽位，高有效。,1’b1
[5],RW,break detect int mask，break 信号检测中断屏蔽位，高有效。,1’b1
[4],RW,cts changed indicate mask，CTS 信号变化中断屏蔽位，高有效。,1’b1
[3],RW,rxfifo data timeout int mask，rxfifo 接收数据超时中断屏蔽位，高有效。,1’b1
[2],RW,rxfifo trigger level int mask，rxfifo 达到触发值中断屏蔽位，高有效。,1’b1
[1],RW,txfifo trigger level int mask，txfifo 达到触发值中断屏蔽位，高有效。,1’b1
[0],RW,txfifo empty int mask，txfifo 为空中断屏蔽位，高有效。,1’b1
