偏移地址,名称,缩写,访问,描述,复位值
0X0000,数据流控制寄存器,UART_LINE_CTRL,RW,uart 通信的数据格式设置,0X0000_000B
0X0004,自动硬件流控寄存器,AUTO_FLOW_CTRL,RW,uart rts/cts 硬件流控设置,0X0000_0014
0X0008,DMA 设置寄存器,DMA_CTRL,RW,uart dma 传输模式设置,0X0000_0024
0X000C,FIFO 控制寄存器,UART_FIFO_CTRL,RW,设置 uart fifo 触发等级,0X0000_0014
0X0010,波特率控制寄存器,BAUD_RATE_CTRL,RW,设置uart  通信波特率,0X0003_0081
0X0014,中断屏蔽寄存器,INT_MASK,RW,设置uart 需要使用的中断,0X0000_01FF
0X0018,中断状态寄存器,INT_SRC,RW,uart 中断状态指示,0X0000_0000
0X001C,FIFO 状态寄存器,FIFO_STATUS,RW,fifo 状态，cts 状态查询,0X0000_1000
0X0020,TX 起始地址寄存器,TX_DATA_WINDOW,WO,,0X0000_0000
0X0030,RX 起始地址寄存器,RX_DATA_WINDOW,RO,,0X0000_0000
